smiles,solvent,abs
CN(C)c1ccc(C#Cc2ccc3ccc4c(C#Cc5ccc(N(C)C)cc5)ccc5ccc2c3c54)cc1,CCCCCC,439.0
CC(=O)c1ccc2cc(C#Cc3cn([C@H]4C[C@H](O)[C@@H](CO)O4)c4ncnc(N)c34)ccc2c1,CC#N,344.0
C#CC1=C(C)C2=C(C)c3c(C)c(C#C)c(C)n3[B-](F)(F)[N+]2=C1C,CC(C)=O,527.0
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(OC)cc3O)nc2c1,CS(C)=O,391.0
O=S(=O)([O-])c1ccccc1/C=C/c1ccc(-c2nnc(-c3ccc(/C=C/c4ccccc4S(=O)(=O)[O-])cc3)o2)cc1,C1CCOC1,346.0
CCn1c2ccccc2c2cc(C3=[O+][B-](F)(F)OC(C)=C3)ccc21,Cc1ccccc1,402.0
C[O+]=C1C=CC2=C3O[B-](F)(F)OC(C#Cc4cc5ccccc5c5ccccc45)=C3CCC2=C1,ClCCl,465.0
CCCCCCn1c(=CC2C(=O)C(=C[N+]3=C(CC)c4ccc(C(=O)O)cc4C3(CCCC)CCCC)C2O)c2cccc3cccc1c32,CCO,770.0
CCCCN1C(=O)C2=C(c3ccc(-c4ccccc4)cc3)N=C(O)C2=C1c1ccc(-c2ccccc2)cc1,ClCCl,485.0
COc1ccc(-c2cc(-c3ccc(C)cc3)nc3c(C#N)c(N4CCCC4)[nH]c(=N)c23)cc1,CC(C)=O,420.0
N#CC(C#N)=C1C=C(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)OC(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)=C1,ClC(Cl)Cl,489.0
F[B-]1(F)n2c(ccc2N2CCCCC2)C(c2c(Cl)cccc2Cl)=C2C=CC=[N+]21,CC#N,471.0
COc1ccc(N(C)c2ccc3c(c2)[Si](C)(C)C2=CC(=[N+](C)c4ccc(OC)cc4)C=CC2=C3c2ccccc2C)cc1,CCO,660.0
